#1:t	2:real	3:imag
154.0699999999999932	-0.001091238091289251349	0.002350215467150575718
154.2249999999999943	-0.001049286342141780154	0.002368902651042232698
154.3799999999999955	-0.001006983013789043615	0.002386887041267505335
154.5349999999999966	-0.0009643536176558676828	0.002404173578260616808
154.6899999999999977	-0.0009214243487832308186	0.002420766339912176508
154.8449999999999989	-0.0008782216054002508652	0.00243666804534752035
155	-0.0008347714665848443225	0.0024518796117360157
155.1550000000000011	-0.0007910991386181130507	0.002466399782644804629
155.3100000000000023	-0.0007472283883705194011	0.002480224844673526493
155.4650000000000034	-0.0007031809917745068935	0.002493348447787740313
155.6200000000000045	-0.0006589762337669620874	0.002505761542832509858
155.7750000000000057	-0.0006146305015427069038	0.00251745244732182313
155.9300000000000068	-0.0005701570124924501722	0.002528407046657039654
156.085000000000008	-0.0005255657117729709395	0.002538609132773195914
156.2400000000000091	-0.0004808633613227253681	0.002548040875214023331
156.3950000000000102	-0.000436053824843762297	0.002556683411752189768
156.5500000000000114	-0.0003911385333936763628	0.002564517536895227594
156.7050000000000125	-0.0003461170978551918382	0.002571524458471659454
156.8599999999999852	-0.0003009880196232601283	0.002577686585303105501
157.0149999999999864	-0.0002557494426065302505	0.002582988304213695071
157.1699999999999875	-0.0002103998881577829987	0.002587416702231984302
157.3249999999999886	-0.0001649389205870700878	0.00259096219066542793
157.4799999999999898	-0.0001193677020289722379	0.002593618991009562832
157.6349999999999909	-7.368941036441724367e-05	0.002595385448682793143
157.789999999999992	-2.79095090828938924e-05	0.002596264148305757469
157.9449999999999932	1.796412790547340967e-05	0.002596261813931804649
158.0999999999999943	6.392122300607908439e-05	0.00259538898841270944
158.2549999999999955	0.0001099492125472657989	0.002593659498447581715
158.4099999999999966	0.0001560334514730466122	0.002591089724992423279
158.5649999999999977	0.0002021574804153027365	0.002587697712771944245
158.7199999999999989	0.0002483033315401703286	0.002583502166152918788
158.875	0.00029445185070924013	0.002578521390902369786
159.0300000000000011	0.0003405830151045455864	0.002572772250067254744
159.1850000000000023	0.000386676226590327687	0.002566269206260286557
159.3400000000000034	0.0004327105631771091098	0.002559023520000576566
159.4950000000000045	0.0004786649737273045266	0.002551042664400346698
